conf_item_name;conf_item_parent_nrs;conf_item_status;conf_item_type;description
]project-open[;;Active;Software Application;ITSM and project management
AlienVault;;Active;Software Application;Thread detection
Bacula ;;Active;Software Application;Backup
Alfresco;;Active;Software Application;Document management system
eXo platform;;Active;Software Application;Enterprise social platform
ICinga 2;;Active;Software Application;Systems monitoring
Jasper Reports;;Active;Software Application;Reporting
Mandriva Qnap;;Active;Software Application;Windows asset management
Openbravo;;Active;Software Application;ERP
PacketFence;;Active;Software Application;Network access control
Pentaho;;Active;Software Application;Business intelligence
Pentaho Kettle;Pentaho;Active;Software Application;Pentaho extract, transform and loading
Pentaho Mondrian;Pentaho;Active;Software Application;Pentaho data-warehouse
Samba 4;;Active;Software Application;File server and identity management
SugarCRM;;Active;Software Application;Customer relationship management
Zimbra;;Active;Software Application;Collaboration
